country_name,wbcode,year,gdp_capita,lp_bl,lh_bl,tradewb,mortnew,ginv,dem,unrestreg,pop
Fiji,FJI,2000,2074.747314453125,27.059782028198242,10.021553039550781,126.57853698730469,20.600000381469727,17.261791229248047,1,0.375,811223
Fiji,FJI,2005,2308.158203125,38.099998474121094,11.800000190734863,123.32513427734375,19,22.978206634521484,1,0.375,821820
France,FRA,2000,21828.29296875,26.30730628967285,16.980712890625,53.03546905517578,4.400000095367432,19.8917293548584,1,0.043478261679410934,60912498
France,FRA,2005,22797.26953125,24.20323371887207,19.80769920349121,52.09890365600586,3.799999952316284,19.969953536987305,1,0.17391304671764374,63179356
France,FRA,2010,22878.466796875,16.619029998779297,21.26690673828125,50.73017883300781,3.5,19.26255989074707,1,0.17391304671764374,65027512
Gabon,GAB,2000,4102.60302734375,31.36378288269043,10.539100646972656,107.151123046875,56.29999923706055,21.902055740356445,0,0.18421052396297455,1231548
Gabon,GAB,2005,4029.244140625,34.88654708862305,11.67772388458252,96.76072692871094,51.70000076293945,21.31041145324707,0,0.2368421107530594,1377777
United Kingdom,GBR,2000,25082.998046875,36.044883728027344,14.575332641601562,55.30506896972656,5.599999904632568,17.68215560913086,1,0.043478261679410934,58892514
United Kingdom,GBR,2005,28261.041015625,31.991212844848633,17.850807189941406,55.23509979248047,5.099999904632568,16.942766189575195,1,0.17391304671764374,60401206
United Kingdom,GBR,2010,28033.490234375,27.93373680114746,21.742111206054688,60.839542388916016,4.400000095367432,15.102801322937012,1,0.17391304671764374,62766365
Ghana,GHA,2000,259.71099853515625,12.770523071289062,4.182134628295898,98.42901611328125,66.4000015258789,23.998600006103516,1,0.18421052396297455,18824994
Ghana,GHA,2005,294.09130859375,13.759580612182617,3.3702664375305176,96.81622314453125,57.900001525878906,29.002140045166016,1,0.2368421107530594,21389514
Ghana,GHA,2010,358.97955322265625,13.945690155029297,3.21193790435791,71.77949523925781,51.099998474121094,28.030487060546875,1,0.31578946113586426,24317734
"Gambia, The",GMB,2000,324.492919921875,4.232884407043457,2.179450750350952,53.81460952758789,62.5,4.562498092651367,0,0.2857142984867096,1228863
"Gambia, The",GMB,2005,324.9059753417969,3.722665548324585,2.0850486755371094,81.51753234863281,55.79999923706055,21.979053497314453,0,0.1428571492433548,1440542
"Gambia, The",GMB,2010,354.5997314453125,3.1004984378814697,1.915836215019226,65.19439697265625,50.70000076293945,21.421306610107422,0,0.2857142984867096,1693002
Greece,GRC,2000,11396.232421875,34.320430755615234,15.335623741149902,59.744510650634766,6.900000095367432,25.27511978149414,1,0.043478261679410934,10805808
Greece,GRC,2005,13657.708984375,38.363914489746094,23.2666015625,56.67138671875,4.800000190734863,21.40471649169922,1,0.17391304671764374,10987314
Greece,GRC,2010,13577.8798828125,30.03192138671875,24.168127059936523,52.9692268371582,4,17.53536605834961,1,0.17391304671764374,11121341
Guatemala,GTM,2000,1716.685302734375,43.29999923706055,3.5999999046325684,47.55061721801758,39.900001525878906,17.83538818359375,1,0.6000000238418579,11688660
Guatemala,GTM,2005,1760.7998046875,46.352142333984375,3.4071543216705322,67.15731048583984,33.400001525878906,19.735916137695312,1,0.3333333432674408,13183505
Guatemala,GTM,2010,1860.75390625,48.845733642578125,2.907504081726074,58.936370849609375,28.299999237060547,13.914977073669434,1,0.1428571492433548,14732261
Guyana,GUY,2000,972.12786865234375,47.5,0.20000000298023224,200.6308135986328,37,23.775981903076172,1,0.6000000238418579,742218
Guyana,GUY,2005,989.28045654296875,44.04440689086914,0.15236254036426544,190.28033447265625,33.599998474121094,24.784772872924805,1,0.3333333432674408,742495
Honduras,HND,2000,1142.709716796875,55.30916976928711,4.202509880065918,109.95046997070312,31,28.288423538208008,1,0.6000000238418579,6243080
Honduras,HND,2005,1296.6241455078125,56.35702133178711,5.077393054962158,136.04425048828125,25.399999618530273,27.62352180480957,1,0.3333333432674408,6880181
Honduras,HND,2010,1392.411865234375,54.778018951416016,6.291662216186523,103.1336669921875,20.899999618530273,22.955657958984375,1,0.1428571492433548,7503875
Croatia,HRV,2000,4861.677734375,37.8799934387207,6.138898849487305,84.34971618652344,7.199999809265137,19.06145477294922,1,0.11538461595773697,4426000
Croatia,HRV,2005,6025.45556640625,34.93404769897461,6.436554908752441,91.48054504394531,5.800000190734863,27.300067901611328,1,0.18518517911434174,4442000
Croatia,HRV,2010,6338.49462890625,32.06766128540039,7.575263023376465,79.8848876953125,4.400000095367432,21.709251403808594,1,0.11538461595773697,4417781
Haiti,HTI,2000,423.868896484375,38.1643180847168,0.8874796628952026,42.394649505615234,75.19999694824219,27.336942672729492,0,0.6000000238418579,8549202
Haiti,HTI,2005,381.44708251953125,40.28999710083008,0.9590814113616943,58.049705505371094,65.9000015258789,27.4180965423584,0,0.3333333432674408,9263409
Haiti,HTI,2010,371.4241943359375,38.88705062866211,1.0279964208602905,55.035736083984375,73.0999984741211,25.433364868164062,0,0.1428571492433548,9999617
Hungary,HUN,2000,4542.720703125,11.963216781616211,12.644638061523438,141.7376708984375,9.800000190734863,27.100208282470703,1,0.11538461595773697,10210971
Hungary,HUN,2005,5639.39453125,6.260329723358154,12.173050880432129,132.89328002929688,7.099999904632568,24.535964965820312,1,0.18518517911434174,10087065
Hungary,HUN,2010,5634.00390625,4.583112716674805,13.806330680847168,159.67312622070312,5.599999904632568,18.403141021728516,1,0.11538461595773697,10000023
Indonesia,IDN,2000,773.31097412109375,51.119998931884766,2.700000047683716,68.40709686279297,41.099998474121094,22.245697021484375,1,0.2142857164144516,211540428
Indonesia,IDN,2005,914.59991455078125,52.23710250854492,2.435345411300659,61.61186981201172,33.599998474121094,25.081409454345703,1,0.0714285746216774,226254703
Indonesia,IDN,2010,1143.83154296875,51.703739166259766,2.514683246612549,45.9112548828125,27.799999237060547,32.574371337890625,1,0.0714285746216774,241613126
India,IND,2000,436.6475524902344,18.439598083496094,4.920458793640137,26.02939796447754,66.5999984741211,24.212158203125,1,0.5,1053481072
India,IND,2005,565.3292236328125,18.794958114624023,5.312552452087402,38.58627700805664,56.099998474121094,34.27962875366211,1,1,1144326293
India,IND,2010,786.7000732421875,19.137277603149414,5.864355564117432,47.36606979370117,47.099998474121094,36.976226806640625,1,0,1230984504
Ireland,IRL,2000,25629.43359375,22.84298324584961,25.168764114379883,172.62112426757812,6,23.8725643157959,1,0.043478261679410934,3805174
Ireland,IRL,2005,29825.28125,18.15918731689453,27.774642944335938,149.78536987304688,4.400000095367432,27.13905143737793,1,0.17391304671764374,4159914
Ireland,IRL,2010,27595.091796875,14.350264549255371,30.551494598388672,175.4708709716797,3.5,11.662142753601074,1,0.17391304671764374,4560155
"Iran, I.R. of",IRN,2000,1550.090576171875,25.51329803466797,9.097461700439453,37.5784797668457,28.399999618530273,32.976585388183594,0,0.1666666716337204,65850062
"Iran, I.R. of",IRN,2005,1906.590087890625,24.461944580078125,12.327438354492188,58.984825134277344,21.700000762939453,32.693782806396484,0,0.2777777910232544,70122115
Iceland,ISL,2000,30928.67578125,45.410030364990234,17.350204467773438,71.85045623779297,3.0999999046325684,23.234905242919922,1,0.043478261679410934,281205
Iceland,ISL,2005,36128.59375,40.03671646118164,21.501346588134766,71.42793273925781,2.4000000953674316,28.193403244018555,1,0.17391304671764374,296734
Iceland,ISL,2010,33945.3125,36.8123893737793,27.69610023498535,100.59280395507812,1.899999976158142,12.540302276611328,1,0.17391304671764374,318041
Israel,ISR,2000,19836.09765625,22.872194290161133,36.43421936035156,74.19158935546875,5.599999904632568,20.489360809326172,1,0.043478261679410934,6289000
Israel,ISR,2005,20022.236328125,20.909690856933594,41.0709342956543,84.152679443359375,4.5,18.864206314086914,1,0.17391304671764374,6930100
Israel,ISR,2010,22275.751953125,19.23417854309082,36.74430847167969,67.24665832519531,3.5999999046325684,15.964654922485352,1,0.17391304671764374,7623600
Italy,ITA,2000,19388.279296875,27.600000381469727,9.399999618530273,49.13017272949219,4.699999809265137,20.82469367980957,1,0.043478261679410934,56942108
Italy,ITA,2005,19781.958984375,23.480411529541016,10.061954498291016,50.3609733581543,3.700000047683716,20.892942428588867,1,0.17391304671764374,57969484
Italy,ITA,2010,18982.26953125,20.698074340820312,10.013826370239258,50.85882568359375,3.4000000953674316,20.25058937072754,1,0.17391304671764374,59277417
Jamaica,JAM,2005,3742.16748046875,27.681476593017578,13.487330436706543,87.069091796875,17.600000381469727,26.912487030029297,1,0.0555555559694767,2643601
Jamaica,JAM,2010,3665.348388671875,22.300247192382812,15.036210060119629,83.58781433105469,15.300000190734863,20.187732696533203,1,0.0555555559694767,2690824
Jordan,JOR,2000,1764.2298583984375,11.031120300292969,15.539013862609863,102.95955657958984,23.200000762939453,22.353313446044922,0,0.1666666716337204,4767476
Jordan,JOR,2005,2129.780517578125,10.412426948547363,16.603614807128906,135.140380859375,20.100000381469727,34.14875030517578,0,0.2777777910232544,5332982
Jordan,JOR,2010,2534.00048828125,8.356388092041016,18.580949783325195,116.86410522460938,17.299999237060547,24.021053314208984,0,0.2222222238779068,6517912
Japan,JPN,2000,36789.21875,25.55547523498535,28.438283920288086,19.460390090942383,3.299999952316284,25.104656219482422,1,0.043478261679410934,126843000
Japan,JPN,2005,38971.84375,21.938648223876953,32.29640197753906,25.565692901611328,2.700000047683716,22.466346740722656,1,0.17391304671764374,127773000
Japan,JPN,2010,39309.48046875,18.728153228759766,36.14771270751953,27.500164031982422,2.4000000953674316,19.77366065979004,1,0.17391304671764374,128070000
Kazakhstan,KAZ,2000,1229.0009765625,9.40999984741211,16.6200008392334,96.719482421875,38.099998474121094,18.139047622680664,0,0.11538461595773697,14883626
Kazakhstan,KAZ,2005,1977.7393798828125,6.921928405761719,16.71504020690918,97.451263427734375,28.899999618530273,30.969768524169922,0,0.18518517911434174,15147029
Kazakhstan,KAZ,2010,2481.718994140625,5.763496398925781,18.33347511291504,77.818328857421875,19.5,25.37354850769043,0,0.11538461595773697,16321581
Kenya,KEN,2000,406.0728454589844,53.58645248413086,2.3064801692962646,48.94710922241211,68.4000015258789,17.414091110229492,0,0.18421052396297455,31065820
Kenya,KEN,2005,426.04510498046875,55.10171127319336,2.7605690956115723,61.37577438354492,61,17.64968490600586,1,0.2368421107530594,35349040
Kenya,KEN,2010,468.696044921875,54.46643829345703,3.18349027633667,65.22334289550781,51.70000076293945,19.774879455566406,1,0.31578946113586426,40328313
Kyrgyz Republic,KGZ,2000,279.6259765625,18.60676383972168,14.898506164550781,98.84424591064453,42.400001525878906,20.00996971130371,0,0.11538461595773697,4898400
Kyrgyz Republic,KGZ,2005,319.4720764160156,17.968748092651367,12.84904670715332,89.99153137207031,34.29999923706055,14.272065162658691,1,0.18518517911434174,5162600
