record_id,municipality_name,construction_cost,units,fees,square_feet,volume
21000816,EAST BRUNSWICK,238000,1,11888,5465,114765
21001110,EAST BRUNSWICK,229500,1,6891,2896,52038
21001449,EAST BRUNSWICK,231551,1,6419,2549,48441
21002030,EAST BRUNSWICK,1700803,40,119007,53217,576411
21002518,EAST BRUNSWICK,1617003,40,111925,53217,576411
21003052,EAST BRUNSWICK,394000,1,7440,3152,57616
22000601,EAST BRUNSWICK,1681534,10,29389,14857,163747
22000602,EAST BRUNSWICK,3031534,1,29088,14857,163747
22000643,EAST BRUNSWICK,472055,1,6832,3486,63724
22000966,EAST BRUNSWICK,406200,1,7015,3700,55876
22001095,EAST BRUNSWICK,249500,1,6264,2172,37967
22001156,EAST BRUNSWICK,147000,1,7292,3029,65553
22001319,EAST BRUNSWICK,292000,1,7980,3000,53881
22001321,EAST BRUNSWICK,300403,1,7445,3000,53881
22001346,EAST BRUNSWICK,452000,1,12853,6566,128632
22001876,EAST BRUNSWICK,73101,1,2753,3781,17271
22002217,EAST BRUNSWICK,230000,1,7396,5297,69301
22002218,EAST BRUNSWICK,230000,1,8025,5942,75336
22002428,EAST BRUNSWICK,321300,1,11626,2708,102656
22002581,EAST BRUNSWICK,526290,1,8921,4724,60696
22002588,EAST BRUNSWICK,369101,1,7057,3219,56291
23000557,EAST BRUNSWICK,481000,2,7886,3556,65003
23000558,EAST BRUNSWICK,491000,1,8145,3911,73613
23002280,EAST BRUNSWICK,451750,1,5196,3106,34630
23002281,EAST BRUNSWICK,451750,1,5214,3120,34934
23002282,EAST BRUNSWICK,451750,1,5189,3112,34862
23002435,EAST BRUNSWICK,126357,1,4633,2079,25410
23002436,EAST BRUNSWICK,126357,1,4261,1764,21616
23002437,EAST BRUNSWICK,126357,2,4261,1764,21616
23002438,EAST BRUNSWICK,128357,2,5777,2079,25410
23003167,EAST BRUNSWICK,126357,2,3808,2079,25410
23003168,EAST BRUNSWICK,126357,2,3501,1764,21616
23003169,EAST BRUNSWICK,126357,2,3504,1764,21616
23003170,EAST BRUNSWICK,128357,2,4744,2079,25410
23003171,EAST BRUNSWICK,126357,2,3808,2079,25410
23003172,EAST BRUNSWICK,126357,2,3501,1764,21616
